Round Number,Train Loss,Test Accuracy
1,1.0962,0.7662
2,0.6576,0.8030
3,0.5541,0.8231
4,0.4936,0.8354
5,0.4664,0.8416
6,0.4430,0.8459
7,0.4272,0.8516
8,0.4127,0.8538
9,0.4044,0.8578
10,0.3962,0.8612
11,0.3910,0.8633
12,0.3796,0.8673
13,0.3714,0.8673
14,0.3689,0.8682
15,0.3629,0.8716
16,0.3588,0.8714
17,0.3528,0.8738
18,0.3495,0.8738
19,0.3509,0.8708
20,0.3410,0.8774
21,0.3373,0.8774
22,0.3345,0.8776
23,0.3310,0.8801
24,0.3294,0.8784
25,0.3255,0.8810
26,0.3226,0.8830
27,0.3196,0.8841
28,0.3156,0.8848
29,0.3126,0.8824
30,0.3096,0.8861
31,0.3070,0.8848
32,0.3046,0.8856
33,0.3020,0.8853
34,0.2990,0.8858
35,0.2970,0.8873
36,0.2961,0.8887
37,0.2913,0.8894
38,0.2908,0.8897
39,0.2872,0.8895
40,0.2852,0.8901
41,0.2826,0.8902
42,0.2785,0.8922
43,0.2760,0.8936
44,0.2746,0.8955
45,0.2721,0.8966
46,0.2690,0.8960
47,0.2674,0.8953
48,0.2674,0.8967
49,0.2609,0.8983
50,0.2587,0.8985
51,0.2574,0.8998
52,0.2550,0.8984
53,0.2520,0.8994
54,0.2499,0.8990
55,0.2491,0.9007
56,0.2461,0.9004
57,0.2426,0.9017
58,0.2403,0.9019
59,0.2358,0.9015
60,0.2349,0.9029
61,0.2322,0.9022
62,0.2322,0.9011
63,0.2286,0.9017
64,0.2258,0.9018
65,0.2249,0.9048
66,0.2206,0.9030
67,0.2178,0.9040
68,0.2143,0.9044
69,0.2144,0.9038
70,0.2119,0.9042
71,0.2099,0.9049
72,0.2065,0.9069
73,0.2032,0.9078
74,0.2030,0.9071
75,0.1991,0.9064
76,0.1965,0.9078
77,0.1956,0.9085
78,0.1924,0.9093
79,0.1907,0.9074
80,0.1879,0.9092
81,0.1874,0.9102
82,0.1843,0.9096
83,0.1802,0.9095
84,0.1778,0.9096
85,0.1753,0.9106
86,0.1725,0.9112
87,0.1724,0.9116
88,0.1700,0.9104
89,0.1671,0.9106
90,0.1644,0.9106
91,0.1628,0.9112
92,0.1611,0.9114
93,0.1593,0.9124
94,0.1565,0.9112
95,0.1547,0.9117
96,0.1515,0.9122
97,0.1491,0.9127
98,0.1485,0.9124
99,0.1454,0.9130
100,0.1433,0.9126
101,0.1415,0.9120
102,0.1384,0.9131
103,0.1369,0.9127
104,0.1356,0.9132
105,0.1329,0.9136
106,0.1303,0.9140
107,0.1283,0.9134
108,0.1270,0.9128
109,0.1227,0.9136
110,0.1223,0.9129
111,0.1206,0.9134
112,0.1176,0.9142
113,0.1161,0.9151
114,0.1141,0.9146
115,0.1136,0.9151
116,0.1112,0.9142
117,0.1088,0.9152
118,0.1062,0.9154
119,0.1046,0.9138
120,0.1014,0.9141
121,0.1001,0.9146
122,0.0990,0.9138
123,0.0965,0.9148
124,0.0950,0.9152
125,0.0919,0.9156
126,0.0907,0.9146
127,0.0901,0.9157
128,0.0884,0.9156
129,0.0853,0.9154
130,0.0836,0.9150
131,0.0824,0.9164
132,0.0809,0.9155
133,0.0775,0.9150
134,0.0773,0.9147
135,0.0750,0.9163
136,0.0741,0.9155
137,0.0717,0.9158
138,0.0714,0.9166
139,0.0687,0.9148
140,0.0669,0.9157
141,0.0647,0.9160
142,0.0657,0.9142
143,0.0622,0.9164
144,0.0612,0.9162
145,0.0602,0.9165
146,0.0579,0.9156
147,0.0559,0.9163
148,0.0561,0.9155
149,0.0546,0.9156
150,0.0526,0.9159
151,0.0533,0.9155
152,0.0502,0.9164
153,0.0483,0.9158
154,0.0476,0.9156
155,0.0458,0.9159
156,0.0449,0.9153
